Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-07-10 15:40:46,false,"Sydney - Anaerobic","4.83","332","00:30:15","137","172","2.6","137","239","6:16","2:34","45","48","1.14","7.3","8.2","280","49.4% L / 50.6% R","6:13","316","0.0","237","569","4,020","18.0","No","00:00:22.3","17","24.0","30","19","41","00:28:09","00:30:55","42","57"
Treadmill Running,2025-07-09 18:19:40,false,"Treadmill Running","5.02","283","00:24:47","135","148","2.3","156","240","4:56","3:32","--","--","1.33","8.5","11.3","272","--","--","323","0.0","322","459","3,836","--","No","00:00:30.8","6","--","--","--","--","00:24:44","00:24:47","--","--"
Treadmill Running,2025-07-08 12:48:51,false,"Threshold","8.17","469","00:38:04","147","170","3.2","146","171","4:40","3:16","--","--","1.49","8.1","12.3","241","50.5% L / 49.5% R","--","369","0.0","340","508","5,470","--","No","00:00:04.4","14","--","35","14","46","00:35:28","00:38:44","--","--"
Treadmill Running,2025-07-06 18:19:12,false,"Long Run","8.77","540","00:43:30","143","159","3.1","158","169","4:58","4:33","--","--","1.29","8.5","10.9","269","--","--","317","0.0","314","361","6,842","--","No","00:03:44.5","9","--","--","--","--","00:43:06","00:43:56","--","--"
Treadmill Running,2025-07-05 16:49:01,false,"Treadmill Running","8.22","455","00:40:24","136","158","2.7","157","240","4:55","3:24","--","--","1.31","8.5","11.1","271","--","--","319","0.0","318","473","6,304","--","No","00:01:03.4","9","--","--","--","--","00:40:05","00:43:40","--","--"
Running,2025-07-03 16:00:40,false,"Sydney - Base","6.08","370","00:29:51","139","152","2.8","161","169","4:55","3:56","44","43","1.27","8.2","10.4","259","--","4:53","333","0.0","329","457","4,844","21.0","No","00:00:22.9","7","26.0","--","--","--","00:29:48","00:31:26","45","57"
Treadmill Running,2025-07-02 15:36:01,false,"Base","10.06","601","00:48:56","146","164","3.4","157","167","4:52","4:15","--","--","1.33","8.4","11.2","268","--","--","325","0.0","325","390","7,696","--","No","00:00:56.9","11","--","--","--","--","00:48:42","00:52:18","--","--"
Treadmill Running,2025-07-01 17:28:46,false,"Threshold","6.21","357","00:27:17","150","173","3.2","154","168","4:24","3:53","--","--","1.34","9.4","12.7","234","51.0% L / 49.0% R","--","342","0.0","332","448","4,176","--","No","00:00:16.9","7","--","35","22","47","00:26:43","00:27:17","--","--"
Treadmill Running,2025-06-29 16:16:42,false,"Base","10.32","567","00:50:56","139","154","3.0","154","180","4:56","4:25","--","--","1.32","8.6","11.3","275","--","--","318","0.0","317","369","7,826","--","No","00:03:03.7","11","--","--","--","--","00:50:23","00:58:09","--","--"
Treadmill Running,2025-06-24 17:31:53,false,"Base","8.13","497","00:40:08","144","162","3.2","156","163","4:56","4:18","--","--","1.31","8.5","11.1","272","--","--","319","0.0","319","389","6,238","--","No","00:00:07.6","10","--","--","--","--","00:40:04","00:40:08","--","--"
