Distance,Time,Avg Run Cadence,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Normalized Power® (NP®),Avg Resp,Active Ratio,Elevation Rate,Score
4.83,1815,137,1.14,7.3,8.2,280,316,30.0,0.9105121293800539,9.316770186335404,-0.08530766621433872
6.31,2534,136,1.05,7.0,7.2,289,306,29.0,0.9593528018942383,4.120443740095087,-0.34148651988291445
21.3,7553,159,1.07,10.3,11.2,243,304,28.0,0.9902541814829449,7.699530516431925,0.6085524222781566
4.98,2131,135,1.0,7.8,7.3,306,293,30.0,0.9336711192998618,8.835341365461847,-0.3866552673220769
5.02,1205,167,1.5,7.4,11.5,207,387,38.0,0.8684020245842372,6.374501992031873,-0.3846814108072296
5.22,2004,143,1.06,7.6,8.1,276,307,27.0,0.9995009980039921,5.363984674329502,0.5094772563892261
6.33,1894,161,1.25,9.6,12.2,229,334,31.0,0.9356435643564357,7.109004739336493,0.3487449292973461
5.61,1699,145,1.38,8.2,11.6,228,359,37.0,0.8820127241179873,7.30837789661319,-0.2506555608758775
5.38,2177,128,1.12,7.0,7.9,275,319,31.0,0.8608888888888889,4.275092936802974,-0.37742413218275983
4.0,1225,160,1.24,9.9,12.5,235,339,23.0,0.9315068493150684,7.75,1.2780138173949533
5.19,2157,119,1.21,7.1,8.5,254,324,32.0,0.7801094890510949,4.0462427745664735,-0.7860911060613219
4.08,1723,131,1.03,7.7,8.1,288,297,29.0,0.9241917502787068,4.6568627450980395,-0.507821342801877
6.13,1986,149,1.23,7.6,9.6,245,348,34.0,0.9697885196374623,8.156606851549755,-0.2059802775654267
5.69,2232,134,1.1,7.7,8.4,281,312,30.0,0.9233870967741935,5.448154657293497,-0.2673035114983945
5.02,1442,163,1.28,8.9,11.6,230,343,29.0,0.9593333333333334,4.9800796812749,0.2298866376023755
4.38,1896,133,1.0,7.9,7.9,273,280,29.0,0.9472573839662447,5.707762557077626,-0.37099424495698363
4.24,1764,139,0.99,8.4,8.4,280,276,28.0,0.9892290249433107,4.952830188679245,0.9895259907387672
16.64,6244,150,1.07,9.9,10.9,237,301,27.0,0.9588404868673926,6.790865384615384,0.24917629927970364
6.27,2566,132,1.07,7.2,7.5,272,308,29.0,0.941153546375682,3.9872408293460926,0.04228829649123744
5.08,1504,157,1.29,8.2,10.5,245,357,34.0,0.7922628510863805,12.007874015748031,1.0356816664353534
5.44,1743,153,1.21,8.4,10.4,246,346,36.0,0.9965576592082617,6.066176470588235,0.07690505326367703
7.36,2283,152,1.25,8.3,10.6,239,346,35.0,0.9496221662468514,6.385869565217391,0.0455830085334904
4.49,1737,142,1.05,7.6,7.9,265,303,28.0,0.9884858952216465,4.4543429844097995,1.1941062097424042
5.46,2201,133,1.09,7.0,7.8,273,314,29.0,0.9345751930940481,5.677655677655678,0.16806993954069593
4.73,1501,136,1.37,8.0,11.2,233,360,33.0,0.843437708194537,7.610993657505285,0.3238527717929355
4.12,1890,135,0.92,7.2,6.8,298,265,28.0,0.9936507936507937,3.883495145631068,0.23483613244201607
5.82,2377,129,1.14,7.8,8.6,254,306,29.0,0.9183845183003786,4.29553264604811,0.9042975275588125
5.73,2118,132,1.24,8.3,10.3,246,316,32.0,0.8456090651558074,7.5043630017452,-0.5050200948883357
3.87,2283,84,1.1,7.9,8.1,248,247,28.0,0.6075339465615418,6.201550387596899,-1.9260361731183608
6.64,2112,144,1.25,7.8,9.6,242,319,32.0,0.953125,5.572289156626506,0.5348628780223486
7.35,2339,143,1.29,7.4,9.8,238,346,33.0,0.9072294191391559,7.210884353741497,0.5348628780223486
6.36,2539,137,1.03,7.6,7.8,273,301,28.0,0.974399369830642,5.031446540880503,0.6619653765992126
11.01,3611,158,1.15,8.6,10.1,246,318,29.0,0.9884393063583815,8.174386920980927,0.24966976340841554
4.61,1979,136,0.99,7.8,7.8,290,281,30.0,0.9646286003031834,4.55531453362256,0.12290119210153327
7.07,2282,158,1.16,8.6,10.2,242,317,29.0,0.9991235758106923,7.2135785007072135,1.0780491659609748
6.79,2161,151,1.26,7.9,10.0,244,334,31.0,0.9357670979667283,6.480117820324006,0.5348628780223486
4.87,2093,137,0.98,7.8,7.5,294,276,30.0,0.9589106545628284,5.544147843942505,-0.0005726671630958968
13.01,4368,159,1.12,9.0,10.4,245,310,29.0,0.9858058608058609,6.840891621829362,0.6334445797825673
8.12,2405,157,1.29,7.6,10.1,242,352,32.0,0.9833679833679834,6.773399014778326,0.2971462946324075
5.02,1669,155,1.17,8.9,10.6,244,312,30.0,0.9368671828469327,6.374501992031873,1.214876263805868
6.18,2459,137,1.05,7.2,7.5,280,310,30.0,0.9646197641317609,4.045307443365696,0.15240891717560257
8.12,2796,147,1.18,7.8,9.5,251,328,35.0,0.9366952789699571,6.280788177339902,-0.4598513474491731
42.27,13790,166,1.11,9.4,10.6,235,302,33.0,0.9976073085846868,4.849775254317483,-0.7694431554388048
6.19,1920,162,1.2,8.8,10.9,236,333,32.0,0.9502790461694571,7.431340872374798,0.8896234334511429
6.35,2100,158,1.15,8.2,9.7,252,315,30.0,0.9971428571428571,7.874015748031496,1.567329035449833
8.79,2763,154,1.23,7.6,9.6,247,341,28.0,0.9800941006152732,6.4846416382252565,0.6067381026220393
8.01,2581,161,1.16,8.8,10.5,247,318,29.0,0.9980627663696242,6.741573033707866,0.462987653422658
8.16,2597,161,1.16,8.8,10.5,240,321,31.0,0.9884482094724683,6.985294117647059,0.6403679311370551
8.71,3185,146,1.09,7.5,7.7,272,307,30.0,0.9965463108320252,4.822043628013777,0.4108955546290075
11.71,3723,160,1.17,8.1,9.8,246,323,33.0,0.9916845493562232,7.600341588385994,0.007337612448815756
5.02,2129,133,1.02,7.1,7.0,286,279,29.0,0.9286049788633162,3.7848605577689245,0.0017351166217334235
4.81,1406,153,1.37,7.5,10.3,227,361,34.0,0.9238975817923186,6.4449064449064455,0.6855366785762177
5.22,2084,142,1.01,7.6,7.5,270,293,31.0,0.9956813819577736,4.597701149425288,0.23994516414038647
